Player,Squad,Pos,Nation,Age,Min,90s,npxG,Gls,Ast,Sh,SoT,SCA,GCA,PrgP,PrgC,KP,Succ,Crs,Pass_Short_Cmp,Pass_Med_Cmp,Pass_Long_Cmp,Tkl,TklW,Int,Blocks,Clr,Recov,Won%,market_value_in_eur
Alessandro Gabrielloni,Como,"FW,MF",it ITA,30.0,142,1.6,0.3,1,1,3.13,1.25,3.75,0.63,6,5,2.5,0.0,0.63,8.13,9.38,0.0,0.0,0.0,0.0,2.5,0.63,7.5,21.4,1000000.0
Gianluca Gaetano,Cagliari,"MF,FW",it ITA,24.0,1009,11.2,4.9,2,4,2.68,0.54,4.29,0.45,41,11,1.96,1.25,2.14,12.2,7.23,2.77,0.98,0.71,0.54,0.98,0.71,3.04,33.3,4000000.0
Roberto Gagliardini,Monza,"MF,DF",it ITA,30.0,180,2.0,0.0,0,0,0.0,0.0,2.0,0.0,11,5,0.5,0.5,0.5,26.5,21.5,4.5,1.5,1.0,1.0,1.0,2.0,3.0,40.0,2000000.0
Cody Gakpo,Liverpool,FW,nl NED,25.0,1935,21.5,7.1,10,4,2.65,1.02,3.72,0.37,52,59,1.77,1.44,3.44,13.9,6.93,0.88,1.3,0.74,0.56,0.47,0.88,3.58,39.5,70000000.0
Javi Galán,Atlético Madrid,DF,es ESP,29.0,1784,19.8,0.2,0,3,0.45,0.0,1.67,0.3,54,52,0.76,1.41,2.88,25.8,13.3,2.73,2.58,1.57,0.61,1.21,2.37,3.59,50.0,4000000.0
Iñigo Ruiz de Galarreta,Athletic Club,MF,es ESP,30.0,1477,16.4,0.5,0,4,0.67,0.06,3.05,0.37,137,27,1.71,0.98,1.77,15.7,21.3,4.09,2.2,1.34,0.98,1.1,0.85,7.32,40.0,4000000.0
Conor Gallagher,Atlético Madrid,MF,eng ENG,24.0,1633,18.1,2.8,3,3,1.22,0.22,1.77,0.44,64,24,0.66,0.94,0.72,24.2,12.1,1.44,2.49,1.77,1.1,0.99,1.27,5.91,30.0,40000000.0
Antonino Gallo,Lecce,DF,it ITA,24.0,2609,29.0,0.3,0,2,0.31,0.1,2.48,0.1,107,57,1.52,0.45,4.0,10.9,13.5,3.59,2.24,1.45,0.69,1.1,4.59,4.0,41.3,4500000.0
Cristian Gamboa,Bochum,DF,cr CRC,34.0,226,2.5,0.2,1,0,1.6,0.4,2.4,0.0,5,2,1.2,0.0,2.8,14.8,9.6,5.6,3.2,1.2,0.8,1.2,3.2,4.4,0.0,500000.0
Idrissa Gana Gueye,Everton,MF,sn SEN,34.0,3063,34.0,1.1,0,3,0.79,0.15,1.76,0.12,145,27,0.56,0.53,0.21,17.9,14.7,3.06,3.91,2.35,1.41,0.65,1.06,5.71,61.5,
Ignatius Ganago,Nantes,"FW,MF",cm CMR,25.0,241,2.7,0.4,0,0,2.59,0.0,2.59,0.37,9,5,1.85,1.85,1.11,11.9,9.26,0.37,0.37,0.37,1.48,0.37,0.74,2.59,36.4,
Silvère Ganvoula M'Boussy,Monza,FW,cg CGO,28.0,326,3.6,0.4,0,0,1.11,0.28,1.11,0.0,4,3,0.28,0.56,0.0,5.28,3.61,0.83,0.0,0.0,0.28,1.11,1.39,1.67,55.6,
Facundo Garcés,Alavés,DF,my MAS,24.0,678,7.5,0.1,0,0,0.67,0.13,0.4,0.0,12,3,0.4,0.0,0.13,4.67,12.8,2.27,0.8,0.27,0.67,0.27,6.8,1.87,48.1,1200000.0
Aleix García,Leverkusen,MF,es ESP,27.0,1455,16.2,1.0,3,4,0.93,0.31,3.7,0.62,120,27,1.98,0.25,5.68,39.5,26.2,7.96,0.8,0.43,0.68,0.99,1.48,4.26,27.3,20000000.0
Álvaro García,Rayo Vallecano,"FW,MF",es ESP,31.0,2559,28.4,7.6,4,5,2.5,0.92,3.66,0.25,71,68,1.76,0.35,3.84,10.4,6.44,1.3,1.16,0.85,1.13,1.51,1.48,3.31,33.3,2500000.0
Andrés García,Aston Villa,"DF,MF",es ESP,21.0,318,3.5,0.0,0,0,0.57,0.0,0.86,0.0,15,26,0.86,1.43,5.14,25.4,21.1,2.0,2.57,1.43,0.57,1.43,2.86,4.29,0.0,7000000.0
Eric García,Barcelona,"DF,MF",es ESP,23.0,1566,17.4,2.3,2,3,0.8,0.46,1.84,0.4,109,18,0.4,0.29,0.4,31.1,34.2,3.68,2.18,1.21,0.8,0.69,2.36,3.1,51.9,15000000.0
Fran Garcia,Real Madrid,DF,es ESP,24.0,2171,24.1,0.9,0,2,0.58,0.12,2.32,0.12,119,78,1.0,0.33,2.74,34.7,16.1,2.78,2.12,1.49,1.16,1.58,2.78,4.4,44.7,
Gonzalo García,Real Madrid,"FW,DF",es ESP,20.0,56,0.6,0.5,0,1,1.67,0.0,3.33,1.67,0,0,1.67,0.0,0.0,20.0,8.33,1.67,0.0,0.0,0.0,0.0,0.0,1.67,100.0,
Pablo Garcia,Betis,FW,es ESP,18.0,38,0.4,0.0,0,0,0.0,0.0,5.0,0.0,0,2,0.0,2.5,5.0,15.0,7.5,2.5,0.0,0.0,0.0,2.5,0.0,7.5,,
Rubén García,Osasuna,"FW,MF",es ESP,31.0,2413,26.8,3.2,5,5,1.01,0.37,3.88,0.45,112,37,1.83,0.45,5.07,16.5,11.3,4.44,1.94,1.16,0.56,1.38,1.27,4.55,43.1,2000000.0
Ulisses Garcia,Marseille,DF,ch SUI,28.0,930,10.3,1.5,2,2,0.78,0.19,1.94,0.68,53,23,0.78,0.68,3.4,26.8,20.9,2.82,1.36,1.07,0.78,1.46,1.75,4.66,73.9,4000000.0
Unai García,Osasuna,DF,es ESP,32.0,65,0.7,0.0,0,0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,5.71,40.0,5.71,0.0,0.0,0.0,0.0,1.43,2.86,16.7,1000000.0
Alejandro Garnacho,Manchester Utd,"MF,FW",ar ARG,20.0,2199,24.4,7.3,6,2,3.44,1.19,3.4,0.25,56,141,1.52,1.07,2.3,16.6,7.5,1.27,1.23,0.74,0.53,2.21,0.45,4.43,11.1,45000000.0
James Garner,Everton,"MF,DF",eng ENG,23.0,1594,17.7,0.7,0,1,0.68,0.23,2.2,0.28,50,15,0.73,0.4,3.22,15.1,15.3,3.33,2.66,1.75,1.3,1.3,2.09,4.12,45.8,20000000.0
Yarek Gasiorowski,Valencia,DF,es ESP,19.0,947,10.5,1.1,0,0,0.29,0.0,0.67,0.0,38,9,0.29,0.0,0.29,12.0,20.7,4.0,1.81,1.52,2.48,0.67,5.71,3.81,64.9,12000000.0
Federico Gatti,Juventus,DF,it ITA,26.0,2195,24.4,2.5,1,0,1.02,0.37,1.07,0.08,73,24,0.25,0.29,0.04,19.8,34.4,2.46,1.15,0.94,0.74,0.25,3.11,4.51,58.7,25000000.0
Gavi,Barcelona,"MF,FW",es ESP,19.0,1085,12.1,0.9,1,1,0.91,0.08,3.22,0.33,77,13,1.16,0.74,0.74,33.1,21.0,2.89,2.48,1.74,0.83,0.58,0.58,5.04,44.7,70000000.0
Jean-Philippe Gbamin,Nantes,MF,ci CIV,28.0,216,2.4,0.5,0,0,0.83,0.0,1.67,0.0,12,2,0.0,0.42,0.0,22.1,12.5,1.67,0.83,0.42,1.25,0.83,0.83,5.42,70.0,
Mory Gbane,Reims,"DF,MF",ci CIV,23.0,1125,12.5,0.2,0,1,0.32,0.16,1.44,0.08,35,3,0.56,0.4,0.16,14.8,17.0,3.36,1.6,0.88,1.44,0.48,7.2,3.92,62.5,4000000.0
Yann Gboho,Toulouse,"MF,FW",fr FRA,23.0,2333,25.9,5.4,5,4,1.93,1.0,3.36,0.27,103,116,1.16,1.93,1.0,10.8,5.95,0.73,1.2,0.69,0.23,1.27,0.15,4.13,15.6,8000000.0
Viggo Gebel,RB Leipzig,MF,de GER,16.0,14,0.2,0.0,0,0,0.0,0.0,5.0,0.0,0,0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,350000.0
Lutsharel Geertruida,RB Leipzig,DF,nl NED,24.0,1557,17.3,1.1,1,0,0.46,0.06,1.45,0.06,93,21,0.58,0.4,0.75,26.1,24.7,3.87,2.02,1.39,0.92,0.69,3.41,4.8,66.7,27000000.0
Dennis Geiger,Hoffenheim,"MF,FW",de GER,26.0,734,8.2,0.2,0,0,0.61,0.12,3.17,0.0,37,12,1.34,0.49,0.61,21.7,14.0,1.95,2.93,1.34,0.85,0.49,0.73,4.27,33.3,3000000.0
Valentin Gendrey,Lecce,DF,fr FRA,24.0,180,2.0,0.2,0,0,1.0,0.0,1.5,0.0,5,7,1.0,0.0,1.5,10.0,8.5,2.5,1.0,1.0,1.0,0.0,0.5,1.5,25.0,8500000.0
Valentin Gendrey,Hoffenheim,DF,fr FRA,24.0,1414,15.7,1.1,1,1,0.64,0.32,2.36,0.25,49,24,1.02,0.19,3.25,15.5,12.2,2.29,1.91,0.76,0.96,1.08,3.38,3.31,52.0,8500000.0
Denis Genreau,Toulouse,MF,au AUS,25.0,222,2.5,0.3,0,0,2.4,0.0,3.2,0.0,13,9,2.0,0.4,3.6,22.8,14.0,2.8,2.8,2.0,1.2,1.2,1.6,4.4,0.0,
